usageKey,canonicalName,vernacularName,primaryImageUrl,secondaryImageUrl,primarySourceUrl,secondarySourceUrl,primaryGbifId,secondaryGbifId,primarySource,secondarySource,primaryLicense,secondaryLicense,primaryVisualRole,secondaryVisualRole,primaryExplicitVisualRoleField,secondaryExplicitVisualRoleField,sameImageUrl,sameGbifId,visualRoleReviewStatus,reviewerVisualVariety,reviewerNotes
2913925,Galium concinnum,shining bedstraw,https://inaturalist-open-data.s3.amazonaws.com/photos/633213017/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/633213374/original.jpg,https://www.gbif.org/occurrence/6188263597,https://www.gbif.org/occurrence/6188263597,6188263597,6188263597,gbif,gbif,CC0,CC0,,,,,False,True,needs_manual_classification,,
2913935,Galium pilosum,hairy bedstraw,https://inaturalist-open-data.s3.amazonaws.com/photos/658025608/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/652331548/original.jpg,https://www.gbif.org/occurrence/6273189917,https://www.gbif.org/occurrence/6273361006,6273189917,6273361006,gbif,gbif,CC BY,CC BY,,,,,False,False,needs_manual_classification,,
2914101,Galium kamtschaticum,Kamchatka bedstraw,https://inaturalist-open-data.s3.amazonaws.com/photos/569727780/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/569727818/original.jpg,https://www.gbif.org/occurrence/5830538215,https://www.gbif.org/occurrence/5830538215,5830538215,5830538215,gbif,gbif,CC0,CC0,,,,,False,True,needs_manual_classification,,
2914640,Galium labradoricum,Labrador bedstraw,https://inaturalist-open-data.s3.amazonaws.com/photos/675699134/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/675698856/original.jpg,https://www.gbif.org/occurrence/6399971813,https://www.gbif.org/occurrence/6399971813,6399971813,6399971813,gbif,gbif,CC BY,CC BY,,,,,False,True,needs_manual_classification,,
2914959,Galium bifolium,twin-leaved bedstraw,https://inaturalist-open-data.s3.amazonaws.com/photos/529793865/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/529793992/original.jpg,https://www.gbif.org/occurrence/5217340104,https://www.gbif.org/occurrence/5217340104,5217340104,5217340104,gbif,gbif,CC0,CC0,,,,,False,True,needs_manual_classification,,
2923947,Cephalanthus occidentalis,eastern buttonbush,https://inaturalist-open-data.s3.amazonaws.com/photos/605422253/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/605422198/original.jpg,https://www.gbif.org/occurrence/5938259926,https://www.gbif.org/occurrence/5938259926,5938259926,5938259926,gbif,gbif,CC BY,CC BY,,,,,False,True,needs_manual_classification,,
2925445,Phryma leptostachya,American lopseed,https://inaturalist-open-data.s3.amazonaws.com/photos/647343635/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/612524277/original.jpg,https://www.gbif.org/occurrence/6252819143,https://www.gbif.org/occurrence/6133084954,6252819143,6133084954,gbif,gbif,CC0,CC BY,,,,,False,False,needs_manual_classification,,
2925530,Verbena urticifolia,white vervain,https://inaturalist-open-data.s3.amazonaws.com/photos/617343020/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/617343015/original.jpg,https://www.gbif.org/occurrence/6162985509,https://www.gbif.org/occurrence/6162985509,6162985509,6162985509,gbif,gbif,CC0,CC0,,,,,False,True,needs_manual_classification,,
2925531,Verbena stricta,hoary vervain,https://inaturalist-open-data.s3.amazonaws.com/photos/663087858/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/668572330/original.jpg,https://www.gbif.org/occurrence/6334744420,https://www.gbif.org/occurrence/6352802930,6334744420,6352802930,gbif,gbif,CC BY,CC BY,,,,,False,False,needs_manual_classification,,
2925532,Verbena bracteata,large-bracted vervain,https://inaturalist-open-data.s3.amazonaws.com/photos/638884719/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/638884681/original.jpg,https://www.gbif.org/occurrence/6235784026,https://www.gbif.org/occurrence/6235784026,6235784026,6235784026,gbif,gbif,CC BY,CC BY,,,,,False,True,needs_manual_classification,,
2925693,Plagiobothrys humistratus,low popcornflower,https://inaturalist-open-data.s3.amazonaws.com/photos/473950821/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/478796019/original.jpeg,https://www.gbif.org/occurrence/5087417682,https://www.gbif.org/occurrence/5104551431,5087417682,5104551431,gbif,gbif,CC BY,CC BY,,,,,False,False,needs_manual_classification,,
2925697,,,https://inaturalist-open-data.s3.amazonaws.com/photos/263811596/original.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/263811759/original.jpeg,https://www.gbif.org/occurrence/4075985112,https://www.gbif.org/occurrence/4075985112,4075985112,4075985112,gbif,gbif,CC BY,CC BY,,,,,False,True,needs_manual_classification,,
2925753,Lappula occidentalis,western stickseed,https://inaturalist-open-data.s3.amazonaws.com/photos/617832035/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/617905759/original.jpg,https://www.gbif.org/occurrence/6162878268,https://www.gbif.org/occurrence/6162878268,6162878268,6162878268,gbif,gbif,CC0,CC0,,,,,False,True,needs_manual_classification,,
2925786,Heliotropium curassavicum,salt heliotrope,https://inaturalist-open-data.s3.amazonaws.com/photos/607204643/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/607204669/original.jpg,https://www.gbif.org/occurrence/6130978806,https://www.gbif.org/occurrence/6130978806,6130978806,6130978806,gbif,gbif,CC0,CC0,,,,,False,True,needs_manual_classification,,
2925870,Amsinckia menziesii,Menzies' fiddleneck,https://inaturalist-open-data.s3.amazonaws.com/photos/604845875/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/604845877/original.jpg,https://www.gbif.org/occurrence/5938077857,https://www.gbif.org/occurrence/5938077857,5938077857,5938077857,gbif,gbif,CC0,CC0,,,,,False,True,needs_manual_classification,,
